=== Experiment V5_kd: V5 = V4 + KD from ANN teacher (enable via USE_KD) ===
Log: /workspace/SNN/logs/cifar100_spikedetect_V5_kd.log
dataset=coco batch=10 img=416 epochs=20 warmup=2 amp=True
backbone_source=imagenet_ann  warm_start=cifar100_spikedetect_V4_mosaic_best.pth scope=all  aug=strong
USE_KD=True  USE_SPIKING_HEAD=False
loading annotations into memory...
Done (t=12.15s)
creating index...
index created!
Wrapped train_set with MosaicDetection (prob=0.5)
loading annotations into memory...
Done (t=0.53s)
creating index...
index created!
Train batches: 11828  Val batches: 500
num_classes=81 (incl. background)
[SEWBackboneForDetection:imagenet_ann] loaded 660 keys, skipped 0, still-missing 240
Warm-started from cifar100_spikedetect_V4_mosaic_best.pth (scope=all): loaded 936 keys, skipped 0
Total params: 20,322,535  Trainable: 20,170,975
Loading ANN teacher: torchvision RetinaNet-R50-FPN-v2 @ 416...
Backbone trainable: 11,092,192
Head/FPN trainable: 9,078,783
USE_EMA=True  USE_PROGRESSIVE_UNFREEZE=True
Resumed from epoch 7 (mAP: 0.292)
--- Epoch 8: unfreezing 3/4 backbone layer-groups, trainable params 20,170,975 ---
  iter 4500/11828  loss=13.8860  (cls 0.6887 bbox 0.8536)  1.37 it/s  gpu_mem=21854 MB
  iter 4600/11828  loss=17.7786  (cls 0.4360 bbox 0.6680)  1.37 it/s  gpu_mem=21854 MB
  iter 4700/11828  loss=18.0348  (cls 0.4804 bbox 0.5620)  1.37 it/s  gpu_mem=21854 MB
  iter 4800/11828  loss=14.7749  (cls 0.3851 bbox 0.5362)  1.37 it/s  gpu_mem=21854 MB
  iter 4900/11828  loss=13.9719  (cls 0.5760 bbox 1.0994)  1.37 it/s  gpu_mem=21854 MB
  iter 5000/11828  loss=15.2721  (cls 0.6489 bbox 1.0148)  1.37 it/s  gpu_mem=21854 MB
  iter 5100/11828  loss=14.3084  (cls 0.3315 bbox 0.5355)  1.37 it/s  gpu_mem=21854 MB
  iter 5200/11828  loss=15.9553  (cls 0.5984 bbox 0.9417)  1.37 it/s  gpu_mem=21854 MB
  iter 5300/11828  loss=15.0899  (cls 0.6106 bbox 1.0440)  1.37 it/s  gpu_mem=21854 MB
  iter 5400/11828  loss=15.1682  (cls 0.5035 bbox 0.6496)  1.37 it/s  gpu_mem=21854 MB
  iter 5500/11828  loss=16.2574  (cls 0.6244 bbox 0.6838)  1.37 it/s  gpu_mem=21854 MB
  iter 5600/11828  loss=16.7424  (cls 0.6412 bbox 0.7492)  1.37 it/s  gpu_mem=21855 MB
  iter 5700/11828  loss=16.7535  (cls 0.4328 bbox 0.5935)  1.38 it/s  gpu_mem=21855 MB
  iter 5800/11828  loss=17.2418  (cls 0.3948 bbox 0.4436)  1.38 it/s  gpu_mem=21855 MB
  iter 5900/11828  loss=16.3598  (cls 0.6756 bbox 0.8584)  1.37 it/s  gpu_mem=21855 MB
  iter 6000/11828  loss=15.6447  (cls 0.3192 bbox 0.4245)  1.37 it/s  gpu_mem=21855 MB
  iter 6100/11828  loss=16.7931  (cls 0.6055 bbox 1.0263)  1.37 it/s  gpu_mem=21855 MB
  iter 6200/11828  loss=16.2140  (cls 0.6084 bbox 0.9871)  1.38 it/s  gpu_mem=21855 MB
  iter 6300/11828  loss=15.8556  (cls 0.7117 bbox 0.9763)  1.38 it/s  gpu_mem=21855 MB
  iter 6400/11828  loss=16.1427  (cls 0.3936 bbox 0.5481)  1.38 it/s  gpu_mem=21855 MB
  iter 6500/11828  loss=16.0846  (cls 0.4340 bbox 0.5753)  1.38 it/s  gpu_mem=21855 MB
  iter 6600/11828  loss=16.2866  (cls 0.6052 bbox 0.7439)  1.38 it/s  gpu_mem=21855 MB
  iter 6700/11828  loss=15.4452  (cls 0.5869 bbox 0.8172)  1.38 it/s  gpu_mem=21855 MB
  iter 6800/11828  loss=16.2598  (cls 0.5169 bbox 0.5991)  1.38 it/s  gpu_mem=21855 MB
  iter 6900/11828  loss=15.9416  (cls 0.6309 bbox 0.9657)  1.38 it/s  gpu_mem=21855 MB
  iter 7000/11828  loss=14.9968  (cls 0.6651 bbox 0.9094)  1.38 it/s  gpu_mem=21855 MB
  iter 7100/11828  loss=14.8954  (cls 0.6548 bbox 0.9622)  1.38 it/s  gpu_mem=21855 MB
  iter 7200/11828  loss=14.9079  (cls 0.4619 bbox 0.7073)  1.38 it/s  gpu_mem=21855 MB
  iter 7300/11828  loss=14.7818  (cls 0.3500 bbox 0.6272)  1.38 it/s  gpu_mem=21855 MB
