=== Experiment V2_coco: M7 COCO warm-start from VOC + AMP + bigger batch ===
Log: /workspace/SNN/logs/cifar100_detect_V2_coco.log
dataset=coco  batch=20  img=416  epochs=15  warmup=2  amp=True
loading annotations into memory...
Done (t=13.35s)
creating index...
index created!
loading annotations into memory...
Done (t=0.59s)
creating index...
index created!
Train batches: 5914  Val batches: 250
num_classes=81 (incl. background)
[SEWBackboneForDetection] loaded 899 keys, skipped 7, own-keys missing 1
  missing: ['conv_stem.weight']
Warm-started from cifar100_detect_V1_best.pth: loaded 934 keys, skipped 2 (shape/class mismatches)
Total params: 20,322,535  Trainable: 20,170,975
Backbone trainable: 11,092,192
Head/FPN trainable: 9,078,783
No resume checkpoint — fresh start for this experiment.
  iter 4800/5914  loss=1.2959  (cls 0.6559 bbox 0.6400)  1.38 it/s  gpu_mem=22263 MB
  iter 4900/5914  loss=1.5319  (cls 0.7021 bbox 0.8297)  1.38 it/s  gpu_mem=22263 MB
  iter 5000/5914  loss=1.1687  (cls 0.6529 bbox 0.5158)  1.38 it/s  gpu_mem=22263 MB
  iter 5100/5914  loss=1.3051  (cls 0.6511 bbox 0.6540)  1.38 it/s  gpu_mem=22263 MB
  iter 5200/5914  loss=1.9278  (cls 0.7391 bbox 1.1887)  1.38 it/s  gpu_mem=22263 MB
  iter 5300/5914  loss=1.2680  (cls 0.6415 bbox 0.6264)  1.38 it/s  gpu_mem=22263 MB
  iter 5400/5914  loss=1.2601  (cls 0.6575 bbox 0.6026)  1.38 it/s  gpu_mem=22263 MB
  iter 5500/5914  loss=1.3346  (cls 0.6574 bbox 0.6772)  1.38 it/s  gpu_mem=22263 MB
  iter 5600/5914  loss=1.2562  (cls 0.6398 bbox 0.6164)  1.38 it/s  gpu_mem=22263 MB
  iter 5700/5914  loss=1.3887  (cls 0.6430 bbox 0.7457)  1.39 it/s  gpu_mem=22263 MB
  iter 5800/5914  loss=1.2757  (cls 0.6404 bbox 0.6353)  1.39 it/s  gpu_mem=22263 MB
  iter 5900/5914  loss=1.2914  (cls 0.6888 bbox 0.6026)  1.39 it/s  gpu_mem=22263 MB
Epoch 0 train | total=1.3635 cls=0.6955 bbox=0.6680 | LR bb=3.00e-05 head=3.00e-04 | 5914 batches in 4268.2s
/workspace/SNN/venv/lib/python3.12/site-packages/torchmetrics/utilities/prints.py:43: UserWarning: Encountered more than 100 detections in a single image. This means that certain detections with the lowest scores will be ignored, that may have an undesirable impact on performance. Please consider adjusting the `max_detection_threshold` to suit your use case. To disable this warning, set attribute class `warn_on_many_detections=False`, after initializing the metric.
  warnings.warn(*args, **kwargs)
Epoch 0 eval | mAP@50=0.064  mAP@[.5:.95]=0.029
>> Best saved at epoch 0 (mAP@50: 0.064)
  iter 0/5914  loss=1.1831  (cls 0.6474 bbox 0.5357)  0.43 it/s  gpu_mem=22263 MB
  iter 100/5914  loss=1.2469  (cls 0.6837 bbox 0.5631)  1.36 it/s  gpu_mem=22263 MB
  iter 200/5914  loss=1.3093  (cls 0.7652 bbox 0.5441)  1.38 it/s  gpu_mem=22263 MB
  iter 300/5914  loss=1.2163  (cls 0.6089 bbox 0.6073)  1.38 it/s  gpu_mem=22263 MB
  iter 400/5914  loss=1.2628  (cls 0.6571 bbox 0.6057)  1.39 it/s  gpu_mem=22263 MB
  iter 500/5914  loss=1.2027  (cls 0.5857 bbox 0.6169)  1.39 it/s  gpu_mem=22263 MB
  iter 600/5914  loss=1.3879  (cls 0.6680 bbox 0.7199)  1.39 it/s  gpu_mem=22263 MB
  iter 700/5914  loss=1.3779  (cls 0.7400 bbox 0.6379)  1.39 it/s  gpu_mem=22263 MB
  iter 800/5914  loss=1.4393  (cls 0.6888 bbox 0.7505)  1.39 it/s  gpu_mem=22263 MB
  iter 900/5914  loss=1.2743  (cls 0.6358 bbox 0.6385)  1.39 it/s  gpu_mem=22263 MB
  iter 1000/5914  loss=1.2484  (cls 0.6306 bbox 0.6178)  1.39 it/s  gpu_mem=22263 MB
  iter 1100/5914  loss=1.2243  (cls 0.7004 bbox 0.5239)  1.39 it/s  gpu_mem=22263 MB
  iter 1200/5914  loss=1.4198  (cls 0.6882 bbox 0.7316)  1.39 it/s  gpu_mem=22263 MB
  iter 1300/5914  loss=1.2647  (cls 0.6304 bbox 0.6343)  1.39 it/s  gpu_mem=22263 MB
  iter 1400/5914  loss=1.1975  (cls 0.6616 bbox 0.5359)  1.39 it/s  gpu_mem=22263 MB
  iter 1500/5914  loss=1.3773  (cls 0.6789 bbox 0.6984)  1.39 it/s  gpu_mem=22263 MB
  iter 1600/5914  loss=1.1321  (cls 0.5543 bbox 0.5778)  1.39 it/s  gpu_mem=22263 MB
  iter 1700/5914  loss=1.3291  (cls 0.6496 bbox 0.6795)  1.39 it/s  gpu_mem=22263 MB
  iter 1800/5914  loss=1.4705  (cls 0.6988 bbox 0.7717)  1.39 it/s  gpu_mem=22263 MB
  iter 1900/5914  loss=1.4891  (cls 0.7060 bbox 0.7831)  1.39 it/s  gpu_mem=22263 MB
  iter 2000/5914  loss=1.2215  (cls 0.5776 bbox 0.6438)  1.39 it/s  gpu_mem=22263 MB
