=== Experiment V5b_atss: V5b = V5 + ATSS matcher fine-tune (8 epochs, no warmup) ===
Log: /workspace/SNN/logs/cifar100_spikedetect_V5b_atss.log
dataset=coco batch=10 img=416 epochs=8 warmup=0 amp=True
backbone_source=imagenet_ann  warm_start=cifar100_spikedetect_V5_kd_best.pth scope=all  aug=strong
USE_KD=True  USE_SPIKING_HEAD=False
loading annotations into memory...
Done (t=12.26s)
creating index...
index created!
Wrapped train_set with MosaicDetection (prob=0.5)
loading annotations into memory...
Done (t=0.54s)
creating index...
index created!
Train batches: 11828  Val batches: 500
num_classes=81 (incl. background)
[SEWBackboneForDetection:imagenet_ann] loaded 660 keys, skipped 0, still-missing 240
Warm-started from cifar100_spikedetect_V5_kd_best.pth (scope=all): loaded 936 keys, skipped 0
[ATSS] Replaced Matcher → ATSSMatcher(topk=9)
Total params: 20,322,535  Trainable: 20,170,975
Loading ANN teacher: torchvision RetinaNet-R50-FPN-v2 @ 416...
Backbone trainable: 11,092,192
Head/FPN trainable: 9,078,783
USE_EMA=True  USE_PROGRESSIVE_UNFREEZE=True
No resume checkpoint — fresh start for this experiment.
--- Epoch 0: unfreezing 1/4 backbone layer-groups, trainable params 17,518,795 ---
  iter 4400/11828  loss=14.2394  (cls 0.6261 bbox 0.8391)  1.51 it/s  gpu_mem=18684 MB
  iter 4500/11828  loss=13.8170  (cls 0.7586 bbox 1.0066)  1.51 it/s  gpu_mem=18684 MB
  iter 4600/11828  loss=14.4889  (cls 0.6969 bbox 0.8604)  1.52 it/s  gpu_mem=18684 MB
  iter 4700/11828  loss=15.9410  (cls 0.7218 bbox 0.8160)  1.52 it/s  gpu_mem=18684 MB
  iter 4800/11828  loss=14.3824  (cls 0.6295 bbox 0.8658)  1.52 it/s  gpu_mem=18684 MB
  iter 4900/11828  loss=15.3241  (cls 0.5247 bbox 0.7105)  1.52 it/s  gpu_mem=18684 MB
  iter 5000/11828  loss=15.5931  (cls 0.5324 bbox 0.6568)  1.52 it/s  gpu_mem=18684 MB
  iter 5100/11828  loss=13.8873  (cls 0.6762 bbox 0.8443)  1.52 it/s  gpu_mem=18684 MB
  iter 5200/11828  loss=15.9500  (cls 0.5097 bbox 0.6844)  1.52 it/s  gpu_mem=18684 MB
  iter 5300/11828  loss=14.9626  (cls 0.5137 bbox 0.7559)  1.52 it/s  gpu_mem=18684 MB
  iter 5400/11828  loss=14.5578  (cls 0.4340 bbox 0.6242)  1.52 it/s  gpu_mem=18684 MB
  iter 5500/11828  loss=16.0964  (cls 0.7050 bbox 0.7940)  1.52 it/s  gpu_mem=18684 MB
  iter 5600/11828  loss=16.8836  (cls 0.5308 bbox 0.5490)  1.52 it/s  gpu_mem=18684 MB
  iter 5700/11828  loss=16.2628  (cls 0.5948 bbox 0.5872)  1.52 it/s  gpu_mem=18684 MB
  iter 5800/11828  loss=16.7031  (cls 0.6063 bbox 0.3768)  1.52 it/s  gpu_mem=18684 MB
  iter 5900/11828  loss=16.2140  (cls 0.5287 bbox 0.5441)  1.52 it/s  gpu_mem=18684 MB
  iter 6000/11828  loss=14.9996  (cls 0.4124 bbox 0.4151)  1.52 it/s  gpu_mem=18684 MB
  iter 6100/11828  loss=17.4364  (cls 0.5300 bbox 0.6873)  1.52 it/s  gpu_mem=18684 MB
  iter 6200/11828  loss=15.4352  (cls 0.6684 bbox 0.8666)  1.52 it/s  gpu_mem=18684 MB
  iter 6300/11828  loss=14.5791  (cls 0.5002 bbox 0.6233)  1.52 it/s  gpu_mem=18684 MB
  iter 6400/11828  loss=15.6390  (cls 0.4714 bbox 0.5498)  1.52 it/s  gpu_mem=18684 MB
  iter 6500/11828  loss=13.8002  (cls 0.7221 bbox 0.7997)  1.52 it/s  gpu_mem=18684 MB
  iter 6600/11828  loss=15.3323  (cls 0.7355 bbox 0.7425)  1.52 it/s  gpu_mem=18684 MB
  iter 6700/11828  loss=15.4139  (cls 0.6944 bbox 0.8243)  1.52 it/s  gpu_mem=18684 MB
  iter 6800/11828  loss=15.4780  (cls 0.6603 bbox 0.8199)  1.52 it/s  gpu_mem=18684 MB
  iter 6900/11828  loss=15.6203  (cls 0.6478 bbox 0.9766)  1.52 it/s  gpu_mem=18684 MB
  iter 7000/11828  loss=14.6417  (cls 0.6948 bbox 0.8603)  1.52 it/s  gpu_mem=18684 MB
  iter 7100/11828  loss=15.8320  (cls 0.5555 bbox 0.7953)  1.52 it/s  gpu_mem=18684 MB
  iter 7200/11828  loss=13.8873  (cls 0.4961 bbox 0.5730)  1.52 it/s  gpu_mem=18684 MB
  iter 7300/11828  loss=14.4626  (cls 0.6558 bbox 0.9574)  1.52 it/s  gpu_mem=18684 MB
  iter 7400/11828  loss=15.4272  (cls 0.5080 bbox 0.6335)  1.52 it/s  gpu_mem=18684 MB
  iter 7500/11828  loss=14.9736  (cls 0.6050 bbox 0.8861)  1.52 it/s  gpu_mem=18684 MB
  iter 7600/11828  loss=15.7136  (cls 0.7754 bbox 0.9903)  1.52 it/s  gpu_mem=18684 MB
  iter 7700/11828  loss=15.6843  (cls 0.6144 bbox 0.5583)  1.52 it/s  gpu_mem=18684 MB
  iter 7800/11828  loss=15.5091  (cls 0.6004 bbox 0.8643)  1.52 it/s  gpu_mem=18684 MB
  iter 7900/11828  loss=14.4617  (cls 0.6932 bbox 0.7903)  1.52 it/s  gpu_mem=18684 MB
  iter 8000/11828  loss=14.2018  (cls 0.6792 bbox 0.9825)  1.52 it/s  gpu_mem=18684 MB
  iter 8100/11828  loss=13.6308  (cls 0.6624 bbox 0.9038)  1.52 it/s  gpu_mem=18684 MB
  iter 8200/11828  loss=15.1197  (cls 0.5761 bbox 0.6657)  1.52 it/s  gpu_mem=18684 MB
  iter 8300/11828  loss=14.4297  (cls 0.4671 bbox 0.5861)  1.52 it/s  gpu_mem=18684 MB
  iter 8400/11828  loss=13.9758  (cls 0.6672 bbox 0.9002)  1.52 it/s  gpu_mem=18684 MB
  iter 8500/11828  loss=15.6419  (cls 0.6034 bbox 0.5976)  1.52 it/s  gpu_mem=18684 MB
  iter 8600/11828  loss=14.8225  (cls 0.7166 bbox 0.9360)  1.52 it/s  gpu_mem=18684 MB
  iter 8700/11828  loss=14.4274  (cls 0.5373 bbox 0.5202)  1.52 it/s  gpu_mem=18684 MB
  iter 8800/11828  loss=14.9999  (cls 0.6708 bbox 0.8092)  1.52 it/s  gpu_mem=18684 MB
  iter 8900/11828  loss=15.6837  (cls 0.7379 bbox 0.7021)  1.52 it/s  gpu_mem=18684 MB
  iter 9000/11828  loss=14.5931  (cls 0.5159 bbox 0.6855)  1.52 it/s  gpu_mem=18684 MB
  iter 9100/11828  loss=16.0887  (cls 0.4794 bbox 0.5590)  1.52 it/s  gpu_mem=18684 MB
  iter 9200/11828  loss=13.5545  (cls 0.6745 bbox 0.7552)  1.52 it/s  gpu_mem=18684 MB
  iter 9300/11828  loss=16.8579  (cls 0.5383 bbox 0.6887)  1.52 it/s  gpu_mem=18684 MB
  iter 9400/11828  loss=14.1882  (cls 0.4155 bbox 0.5238)  1.52 it/s  gpu_mem=18684 MB
  iter 9500/11828  loss=15.1744  (cls 0.7586 bbox 0.8850)  1.52 it/s  gpu_mem=18684 MB
  iter 9600/11828  loss=14.9819  (cls 0.6969 bbox 0.8862)  1.52 it/s  gpu_mem=18684 MB
  iter 9700/11828  loss=14.6933  (cls 0.6062 bbox 0.8810)  1.52 it/s  gpu_mem=18684 MB
