=== Experiment V7_yolov8: V7 = V5 backbone + YOLOv8 head (TAL+CIoU+DFL via ultralytics) ===
Log: /workspace/SNN/logs/cifar100_spikedetect_V7_yolov8.log
dataset=coco batch=10 img=416 epochs=20 warmup=2 amp=True
backbone_source=imagenet_ann  warm_start=cifar100_spikedetect_V5_kd_best.pth scope=backbone_only  aug=strong
USE_KD=True  USE_SPIKING_HEAD=False
loading annotations into memory...
Done (t=12.65s)
creating index...
index created!
Wrapped train_set with MosaicDetection (prob=0.5)
loading annotations into memory...
Done (t=0.54s)
creating index...
index created!
Train batches: 11828  Val batches: 500
num_classes=81 (incl. background)
[SEWBackboneForDetection:imagenet_ann] loaded 660 keys, skipped 0, still-missing 240
Warm-started from cifar100_spikedetect_V5_kd_best.pth (scope=backbone_only): loaded 900 keys, skipped 24
Total params: 17,414,811  Trainable: 17,263,251
Loading ANN teacher: torchvision RetinaNet-R50-FPN-v2 @ 416...
Backbone trainable: 11,092,192
Head/FPN trainable: 6,171,059
USE_EMA=True  USE_PROGRESSIVE_UNFREEZE=True
No resume checkpoint — fresh start for this experiment.
--- Epoch 0: unfreezing 1/4 backbone layer-groups, trainable params 14,611,071 ---
  iter 3800/11828  loss=23.4033  (cls 2.5671 ciou 1.9832 dfl 1.7626)  1.60 it/s  gpu_mem=18428 MB
  iter 3900/11828  loss=25.5112  (cls 2.3451 ciou 1.9114 dfl 1.7787)  1.60 it/s  gpu_mem=18428 MB
  iter 4000/11828  loss=23.1485  (cls 2.8099 ciou 2.4978 dfl 2.1127)  1.60 it/s  gpu_mem=18428 MB
  iter 4100/11828  loss=25.0821  (cls 2.7040 ciou 2.1393 dfl 2.1253)  1.60 it/s  gpu_mem=18428 MB
  iter 4200/11828  loss=24.5672  (cls 2.2368 ciou 1.9011 dfl 1.7475)  1.60 it/s  gpu_mem=18428 MB
  iter 4300/11828  loss=24.3537  (cls 2.7709 ciou 2.3806 dfl 2.1833)  1.60 it/s  gpu_mem=18428 MB
  iter 4400/11828  loss=22.3720  (cls 2.5657 ciou 2.1303 dfl 1.9496)  1.60 it/s  gpu_mem=18428 MB
  iter 4500/11828  loss=22.9233  (cls 2.0650 ciou 1.9438 dfl 1.7182)  1.60 it/s  gpu_mem=18428 MB
  iter 4600/11828  loss=22.3931  (cls 2.8896 ciou 2.3442 dfl 1.9958)  1.60 it/s  gpu_mem=18428 MB
  iter 4700/11828  loss=21.9665  (cls 2.1201 ciou 1.8866 dfl 1.6586)  1.60 it/s  gpu_mem=18428 MB
  iter 4800/11828  loss=21.8392  (cls 2.7785 ciou 2.1479 dfl 1.9485)  1.60 it/s  gpu_mem=18428 MB
  iter 4900/11828  loss=23.3341  (cls 2.0127 ciou 1.9265 dfl 1.6654)  1.60 it/s  gpu_mem=18428 MB
  iter 5000/11828  loss=22.8949  (cls 2.9331 ciou 2.4608 dfl 2.1932)  1.60 it/s  gpu_mem=18428 MB
  iter 5100/11828  loss=22.3631  (cls 2.0156 ciou 1.9344 dfl 1.7165)  1.60 it/s  gpu_mem=18428 MB
  iter 5200/11828  loss=22.9990  (cls 1.8589 ciou 1.9870 dfl 1.6674)  1.60 it/s  gpu_mem=18428 MB
  iter 5300/11828  loss=24.2131  (cls 2.7204 ciou 2.3959 dfl 2.0469)  1.60 it/s  gpu_mem=18428 MB
  iter 5400/11828  loss=23.7614  (cls 2.8793 ciou 2.3976 dfl 2.1112)  1.60 it/s  gpu_mem=18428 MB
  iter 5500/11828  loss=23.5465  (cls 1.9434 ciou 1.8380 dfl 1.7933)  1.60 it/s  gpu_mem=18428 MB
  iter 5600/11828  loss=21.9169  (cls 2.4159 ciou 1.8890 dfl 1.7413)  1.60 it/s  gpu_mem=18428 MB
  iter 5700/11828  loss=23.4168  (cls 2.6755 ciou 2.3289 dfl 2.1906)  1.60 it/s  gpu_mem=18428 MB
  iter 5800/11828  loss=22.7144  (cls 2.1110 ciou 1.8612 dfl 1.6643)  1.60 it/s  gpu_mem=18428 MB
  iter 5900/11828  loss=23.3244  (cls 2.8606 ciou 2.4112 dfl 2.1202)  1.60 it/s  gpu_mem=18428 MB
  iter 6000/11828  loss=22.8209  (cls 1.9549 ciou 1.9081 dfl 1.6717)  1.60 it/s  gpu_mem=18428 MB
  iter 6100/11828  loss=22.1309  (cls 2.3051 ciou 2.0044 dfl 1.7106)  1.60 it/s  gpu_mem=18428 MB
  iter 6200/11828  loss=23.1224  (cls 2.2976 ciou 2.0107 dfl 1.7847)  1.60 it/s  gpu_mem=18428 MB
  iter 6300/11828  loss=21.1347  (cls 2.3058 ciou 1.7482 dfl 1.7794)  1.60 it/s  gpu_mem=18428 MB
  iter 6400/11828  loss=23.4292  (cls 2.0558 ciou 2.0612 dfl 1.7929)  1.60 it/s  gpu_mem=18428 MB
  iter 6500/11828  loss=22.5558  (cls 2.1064 ciou 1.9717 dfl 1.6562)  1.60 it/s  gpu_mem=18428 MB
  iter 6600/11828  loss=23.7902  (cls 2.9711 ciou 2.3530 dfl 2.2049)  1.60 it/s  gpu_mem=18428 MB
  iter 6700/11828  loss=22.8917  (cls 3.2833 ciou 2.3353 dfl 2.1313)  1.60 it/s  gpu_mem=18428 MB
  iter 6800/11828  loss=23.0389  (cls 2.8315 ciou 2.3577 dfl 1.9644)  1.60 it/s  gpu_mem=18428 MB
  iter 6900/11828  loss=24.1758  (cls 3.1473 ciou 2.3583 dfl 2.0880)  1.60 it/s  gpu_mem=18428 MB
  iter 7000/11828  loss=22.5258  (cls 2.7772 ciou 2.4704 dfl 2.1797)  1.60 it/s  gpu_mem=18428 MB
  iter 7100/11828  loss=23.3293  (cls 2.5332 ciou 2.3217 dfl 1.9236)  1.60 it/s  gpu_mem=18428 MB
  iter 7200/11828  loss=22.1858  (cls 2.1746 ciou 1.8865 dfl 1.6945)  1.60 it/s  gpu_mem=18428 MB
  iter 7300/11828  loss=25.4327  (cls 3.0391 ciou 2.2716 dfl 2.0828)  1.60 it/s  gpu_mem=18428 MB
  iter 7400/11828  loss=23.1279  (cls 2.5863 ciou 2.2085 dfl 2.0771)  1.60 it/s  gpu_mem=18428 MB
  iter 7500/11828  loss=22.9040  (cls 1.8586 ciou 1.9941 dfl 1.6679)  1.60 it/s  gpu_mem=18428 MB
  iter 7600/11828  loss=24.9681  (cls 3.0059 ciou 2.3517 dfl 2.1167)  1.60 it/s  gpu_mem=18428 MB
  iter 7700/11828  loss=20.0525  (cls 2.0609 ciou 1.9761 dfl 1.5610)  1.60 it/s  gpu_mem=18428 MB
  iter 7800/11828  loss=22.4103  (cls 2.3710 ciou 2.0793 dfl 1.7110)  1.60 it/s  gpu_mem=18428 MB
  iter 7900/11828  loss=23.3683  (cls 2.1001 ciou 2.0069 dfl 1.7081)  1.60 it/s  gpu_mem=18428 MB
  iter 8000/11828  loss=24.8639  (cls 3.0210 ciou 2.4072 dfl 2.1502)  1.60 it/s  gpu_mem=18428 MB
  iter 8100/11828  loss=23.5526  (cls 2.8179 ciou 2.3716 dfl 1.9913)  1.60 it/s  gpu_mem=18428 MB
  iter 8200/11828  loss=24.2848  (cls 2.8737 ciou 2.4109 dfl 1.9969)  1.60 it/s  gpu_mem=18428 MB
  iter 8300/11828  loss=22.7414  (cls 2.6512 ciou 2.3089 dfl 2.1001)  1.60 it/s  gpu_mem=18428 MB
  iter 8400/11828  loss=24.8694  (cls 2.9871 ciou 2.3997 dfl 2.0994)  1.60 it/s  gpu_mem=18428 MB
  iter 8500/11828  loss=24.4144  (cls 2.0705 ciou 1.9186 dfl 1.6429)  1.60 it/s  gpu_mem=18428 MB
  iter 8600/11828  loss=21.4165  (cls 1.8826 ciou 1.7303 dfl 1.5851)  1.60 it/s  gpu_mem=18428 MB
  iter 8700/11828  loss=22.7496  (cls 2.5866 ciou 2.1018 dfl 1.8972)  1.60 it/s  gpu_mem=18428 MB
  iter 8800/11828  loss=22.5250  (cls 2.8794 ciou 2.2527 dfl 1.9624)  1.60 it/s  gpu_mem=18428 MB
  iter 8900/11828  loss=22.6375  (cls 2.9812 ciou 2.3258 dfl 2.0356)  1.60 it/s  gpu_mem=18428 MB
  iter 9000/11828  loss=23.0253  (cls 2.8745 ciou 2.4881 dfl 2.1831)  1.60 it/s  gpu_mem=18428 MB
  iter 9100/11828  loss=21.0614  (cls 2.4239 ciou 2.4246 dfl 1.8388)  1.60 it/s  gpu_mem=18428 MB
  iter 9200/11828  loss=24.1003  (cls 2.7562 ciou 2.4517 dfl 1.9719)  1.60 it/s  gpu_mem=18428 MB
  iter 9300/11828  loss=20.6125  (cls 1.8344 ciou 1.8217 dfl 1.6196)  1.60 it/s  gpu_mem=18428 MB
  iter 9400/11828  loss=22.7905  (cls 2.5825 ciou 2.2209 dfl 1.9663)  1.60 it/s  gpu_mem=18428 MB
  iter 9500/11828  loss=22.7362  (cls 2.0679 ciou 1.8293 dfl 1.6159)  1.60 it/s  gpu_mem=18428 MB
  iter 9600/11828  loss=23.3914  (cls 2.7344 ciou 2.5185 dfl 2.1591)  1.60 it/s  gpu_mem=18428 MB
  iter 9700/11828  loss=23.9333  (cls 3.0048 ciou 2.5326 dfl 2.1771)  1.60 it/s  gpu_mem=18428 MB
  iter 9800/11828  loss=22.2315  (cls 2.6946 ciou 2.1388 dfl 1.9641)  1.60 it/s  gpu_mem=18428 MB
  iter 9900/11828  loss=20.6620  (cls 2.2829 ciou 1.7973 dfl 1.6896)  1.60 it/s  gpu_mem=18428 MB
  iter 10000/11828  loss=22.9189  (cls 2.8474 ciou 2.3065 dfl 1.9192)  1.60 it/s  gpu_mem=18428 MB
  iter 10100/11828  loss=23.4615  (cls 2.4226 ciou 1.8742 dfl 1.7249)  1.60 it/s  gpu_mem=18428 MB
  iter 10200/11828  loss=21.5007  (cls 1.9213 ciou 1.7836 dfl 1.5885)  1.60 it/s  gpu_mem=18428 MB
  iter 10300/11828  loss=21.9555  (cls 2.0074 ciou 1.7042 dfl 1.5398)  1.60 it/s  gpu_mem=18428 MB
  iter 10400/11828  loss=23.5914  (cls 2.9091 ciou 2.1506 dfl 2.0029)  1.60 it/s  gpu_mem=18428 MB
  iter 10500/11828  loss=20.9860  (cls 2.0948 ciou 1.6049 dfl 1.6607)  1.60 it/s  gpu_mem=18428 MB
  iter 10600/11828  loss=23.9599  (cls 2.4946 ciou 2.2327 dfl 1.9246)  1.60 it/s  gpu_mem=18428 MB
  iter 10700/11828  loss=22.9451  (cls 2.6856 ciou 1.9747 dfl 1.8041)  1.60 it/s  gpu_mem=18428 MB
  iter 10800/11828  loss=21.7205  (cls 2.9855 ciou 2.1379 dfl 1.8918)  1.60 it/s  gpu_mem=18428 MB
  iter 10900/11828  loss=24.0856  (cls 2.7067 ciou 2.4647 dfl 1.9657)  1.60 it/s  gpu_mem=18428 MB
  iter 11000/11828  loss=21.5343  (cls 1.6746 ciou 1.7012 dfl 1.5311)  1.60 it/s  gpu_mem=18428 MB
  iter 11100/11828  loss=22.6380  (cls 1.9798 ciou 1.7609 dfl 1.6047)  1.60 it/s  gpu_mem=18428 MB
  iter 11200/11828  loss=21.7282  (cls 1.8196 ciou 1.8587 dfl 1.6637)  1.60 it/s  gpu_mem=18428 MB
  iter 11300/11828  loss=24.3724  (cls 2.9404 ciou 2.2843 dfl 2.0295)  1.60 it/s  gpu_mem=18428 MB
  iter 11400/11828  loss=22.0363  (cls 2.1702 ciou 1.7791 dfl 1.5737)  1.60 it/s  gpu_mem=18428 MB
  iter 11500/11828  loss=21.8129  (cls 1.9107 ciou 1.8890 dfl 1.6315)  1.60 it/s  gpu_mem=18428 MB
  iter 11600/11828  loss=24.0303  (cls 2.7556 ciou 2.2823 dfl 1.9532)  1.60 it/s  gpu_mem=18428 MB
  iter 11700/11828  loss=23.5518  (cls 2.3298 ciou 1.8586 dfl 1.6451)  1.60 it/s  gpu_mem=18428 MB
  iter 11800/11828  loss=22.4454  (cls 2.9494 ciou 2.3847 dfl 2.1025)  1.60 it/s  gpu_mem=18428 MB
Epoch 0 train | total=25.7545 cls=3.7026 ciou=2.1413 dfl=1.9798 | LR bb=3.00e-05 head=3.00e-04 | 11828 batches in 7379.5s
/workspace/SNN/venv/lib/python3.12/site-packages/torchmetrics/utilities/prints.py:43: UserWarning: Encountered more than 100 detections in a single image. This means that certain detections with the lowest scores will be ignored, that may have an undesirable impact on performance. Please consider adjusting the `max_detection_threshold` to suit your use case. To disable this warning, set attribute class `warn_on_many_detections=False`, after initializing the metric.
  warnings.warn(*args, **kwargs)
Epoch 0 eval (EMA) | mAP@50=0.304  mAP@[.5:.95]=0.168
>> Best saved at epoch 0 (mAP@50: 0.304) [EMA]
--- Epoch 1: unfreezing 1/4 backbone layer-groups, trainable params 14,611,071 ---
  iter 0/11828  loss=22.4108  (cls 2.0148 ciou 1.8353 dfl 1.5911)  0.63 it/s  gpu_mem=18753 MB
  iter 100/11828  loss=22.2966  (cls 1.9609 ciou 1.9094 dfl 1.5808)  1.58 it/s  gpu_mem=18755 MB
  iter 200/11828  loss=22.1391  (cls 2.3997 ciou 2.0432 dfl 1.8134)  1.59 it/s  gpu_mem=18755 MB
  iter 300/11828  loss=22.0373  (cls 2.7150 ciou 2.2399 dfl 1.8905)  1.60 it/s  gpu_mem=18755 MB
  iter 400/11828  loss=22.0169  (cls 2.0733 ciou 1.7728 dfl 1.5296)  1.60 it/s  gpu_mem=18755 MB
  iter 500/11828  loss=21.1333  (cls 1.9798 ciou 1.6479 dfl 1.4609)  1.60 it/s  gpu_mem=18755 MB
  iter 600/11828  loss=22.9756  (cls 2.0883 ciou 1.7235 dfl 1.6595)  1.60 it/s  gpu_mem=18755 MB
  iter 700/11828  loss=23.2699  (cls 2.7115 ciou 2.3597 dfl 1.8836)  1.59 it/s  gpu_mem=18755 MB
  iter 800/11828  loss=21.7382  (cls 2.9944 ciou 2.2228 dfl 1.8662)  1.59 it/s  gpu_mem=18755 MB
  iter 900/11828  loss=21.8814  (cls 1.8816 ciou 1.8639 dfl 1.7115)  1.60 it/s  gpu_mem=18755 MB
  iter 1000/11828  loss=20.7126  (cls 1.9941 ciou 1.9139 dfl 1.6494)  1.60 it/s  gpu_mem=18755 MB
  iter 1100/11828  loss=20.6956  (cls 1.8687 ciou 1.9359 dfl 1.5978)  1.60 it/s  gpu_mem=18755 MB
  iter 1200/11828  loss=22.5340  (cls 1.9744 ciou 1.9609 dfl 1.6719)  1.60 it/s  gpu_mem=18755 MB
  iter 1300/11828  loss=22.3500  (cls 2.7340 ciou 2.2049 dfl 1.8953)  1.60 it/s  gpu_mem=18755 MB
  iter 1400/11828  loss=21.4092  (cls 1.9267 ciou 1.7202 dfl 1.5627)  1.60 it/s  gpu_mem=18755 MB
  iter 1500/11828  loss=19.8559  (cls 1.7741 ciou 1.7213 dfl 1.4615)  1.60 it/s  gpu_mem=18755 MB
  iter 1600/11828  loss=23.0277  (cls 2.6285 ciou 2.2727 dfl 1.9057)  1.60 it/s  gpu_mem=18755 MB
  iter 1700/11828  loss=22.7837  (cls 1.8728 ciou 1.8273 dfl 1.5431)  1.60 it/s  gpu_mem=18755 MB
  iter 1800/11828  loss=22.3916  (cls 2.1320 ciou 1.9924 dfl 1.6767)  1.60 it/s  gpu_mem=18755 MB
