=== Experiment V4_mosaic: V4 = V3 + Mosaic/MixUp ===
Log: /workspace/SNN/logs/cifar100_spikedetect_V4_mosaic.log
dataset=coco batch=20 img=416 epochs=20 warmup=2 amp=True
backbone_source=imagenet_ann  warm_start=cifar100_spikedetect_V3_imagenet_best.pth scope=all  aug=strong
USE_KD=False  USE_SPIKING_HEAD=False
loading annotations into memory...
Done (t=12.21s)
creating index...
index created!
Wrapped train_set with MosaicDetection (prob=0.5)
loading annotations into memory...
Done (t=0.54s)
creating index...
index created!
Train batches: 5914  Val batches: 250
num_classes=81 (incl. background)
[SEWBackboneForDetection:imagenet_ann] loaded 660 keys, skipped 0, still-missing 240
Warm-started from cifar100_spikedetect_V3_imagenet_best.pth (scope=all): loaded 936 keys, skipped 0
Total params: 20,322,535  Trainable: 20,170,975
Backbone trainable: 11,092,192
Head/FPN trainable: 9,078,783
No resume checkpoint — fresh start for this experiment.
  iter 4700/5914  loss=1.6445  (cls 0.6199 bbox 1.0247)  1.39 it/s  gpu_mem=22035 MB
  iter 4800/5914  loss=1.6137  (cls 0.6108 bbox 1.0029)  1.39 it/s  gpu_mem=22035 MB
  iter 4900/5914  loss=0.9906  (cls 0.4234 bbox 0.5672)  1.39 it/s  gpu_mem=22035 MB
  iter 5000/5914  loss=1.6714  (cls 0.5870 bbox 1.0844)  1.39 it/s  gpu_mem=22035 MB
  iter 5100/5914  loss=0.9703  (cls 0.4370 bbox 0.5334)  1.39 it/s  gpu_mem=22035 MB
  iter 5200/5914  loss=1.6116  (cls 0.6250 bbox 0.9867)  1.39 it/s  gpu_mem=22035 MB
  iter 5300/5914  loss=1.0713  (cls 0.4318 bbox 0.6395)  1.39 it/s  gpu_mem=22035 MB
  iter 5400/5914  loss=1.5118  (cls 0.6115 bbox 0.9003)  1.39 it/s  gpu_mem=22035 MB
  iter 5500/5914  loss=1.6578  (cls 0.6117 bbox 1.0461)  1.39 it/s  gpu_mem=22035 MB
  iter 5600/5914  loss=1.2062  (cls 0.5206 bbox 0.6856)  1.39 it/s  gpu_mem=22035 MB
  iter 5700/5914  loss=1.5020  (cls 0.6498 bbox 0.8522)  1.39 it/s  gpu_mem=22035 MB
  iter 5800/5914  loss=1.5298  (cls 0.6473 bbox 0.8825)  1.39 it/s  gpu_mem=22035 MB
  iter 5900/5914  loss=1.4820  (cls 0.6127 bbox 0.8693)  1.39 it/s  gpu_mem=22035 MB
Epoch 0 train | total=1.3123 cls=0.5443 bbox=0.7681 | LR bb=3.00e-05 head=3.00e-04 | 5914 batches in 4257.5s
/workspace/SNN/venv/lib/python3.12/site-packages/torchmetrics/utilities/prints.py:43: UserWarning: Encountered more than 100 detections in a single image. This means that certain detections with the lowest scores will be ignored, that may have an undesirable impact on performance. Please consider adjusting the `max_detection_threshold` to suit your use case. To disable this warning, set attribute class `warn_on_many_detections=False`, after initializing the metric.
  warnings.warn(*args, **kwargs)
Epoch 0 eval | mAP@50=0.265  mAP@[.5:.95]=0.141
>> Best saved at epoch 0 (mAP@50: 0.265)
  iter 0/5914  loss=1.0609  (cls 0.5151 bbox 0.5458)  0.36 it/s  gpu_mem=22035 MB
  iter 100/5914  loss=1.0665  (cls 0.4145 bbox 0.6519)  1.35 it/s  gpu_mem=22035 MB
  iter 200/5914  loss=1.1520  (cls 0.4545 bbox 0.6975)  1.37 it/s  gpu_mem=22035 MB
  iter 300/5914  loss=1.5810  (cls 0.6443 bbox 0.9368)  1.38 it/s  gpu_mem=22035 MB
  iter 400/5914  loss=1.4593  (cls 0.5902 bbox 0.8691)  1.38 it/s  gpu_mem=22035 MB
  iter 500/5914  loss=1.6003  (cls 0.6491 bbox 0.9512)  1.38 it/s  gpu_mem=22035 MB
  iter 600/5914  loss=1.6555  (cls 0.6917 bbox 0.9638)  1.38 it/s  gpu_mem=22035 MB
  iter 700/5914  loss=1.1399  (cls 0.4674 bbox 0.6726)  1.38 it/s  gpu_mem=22035 MB
  iter 800/5914  loss=1.1012  (cls 0.4549 bbox 0.6463)  1.38 it/s  gpu_mem=22035 MB
  iter 900/5914  loss=1.8096  (cls 0.6276 bbox 1.1819)  1.39 it/s  gpu_mem=22035 MB
  iter 1000/5914  loss=1.4233  (cls 0.5950 bbox 0.8282)  1.39 it/s  gpu_mem=22035 MB
  iter 1100/5914  loss=1.6456  (cls 0.6830 bbox 0.9626)  1.39 it/s  gpu_mem=22035 MB
  iter 1200/5914  loss=1.4357  (cls 0.6489 bbox 0.7867)  1.39 it/s  gpu_mem=22035 MB
  iter 1300/5914  loss=1.0952  (cls 0.4500 bbox 0.6452)  1.39 it/s  gpu_mem=22035 MB
  iter 1400/5914  loss=1.0579  (cls 0.4349 bbox 0.6230)  1.39 it/s  gpu_mem=22035 MB
  iter 1500/5914  loss=1.5440  (cls 0.6131 bbox 0.9309)  1.38 it/s  gpu_mem=22035 MB
  iter 1600/5914  loss=1.4137  (cls 0.6001 bbox 0.8136)  1.38 it/s  gpu_mem=22035 MB
  iter 1700/5914  loss=1.0185  (cls 0.4136 bbox 0.6049)  1.39 it/s  gpu_mem=22035 MB
  iter 1800/5914  loss=1.1688  (cls 0.5081 bbox 0.6607)  1.39 it/s  gpu_mem=22035 MB
  iter 1900/5914  loss=1.4548  (cls 0.6504 bbox 0.8044)  1.39 it/s  gpu_mem=22035 MB
  iter 2000/5914  loss=0.9568  (cls 0.4270 bbox 0.5299)  1.39 it/s  gpu_mem=22035 MB
  iter 2100/5914  loss=1.0157  (cls 0.4707 bbox 0.5451)  1.39 it/s  gpu_mem=22035 MB
  iter 2200/5914  loss=1.1097  (cls 0.4383 bbox 0.6715)  1.39 it/s  gpu_mem=22035 MB
  iter 2300/5914  loss=1.5455  (cls 0.6444 bbox 0.9011)  1.39 it/s  gpu_mem=22035 MB
  iter 2400/5914  loss=1.4065  (cls 0.5979 bbox 0.8086)  1.39 it/s  gpu_mem=22035 MB
  iter 2500/5914  loss=1.2319  (cls 0.6180 bbox 0.6139)  1.39 it/s  gpu_mem=22035 MB
  iter 2600/5914  loss=1.1042  (cls 0.4868 bbox 0.6175)  1.39 it/s  gpu_mem=22035 MB
  iter 2700/5914  loss=1.7101  (cls 0.6366 bbox 1.0736)  1.39 it/s  gpu_mem=22035 MB
  iter 2800/5914  loss=1.5387  (cls 0.6307 bbox 0.9080)  1.39 it/s  gpu_mem=22035 MB
  iter 2900/5914  loss=1.7257  (cls 0.7016 bbox 1.0242)  1.39 it/s  gpu_mem=22035 MB
  iter 3000/5914  loss=1.2091  (cls 0.4801 bbox 0.7290)  1.39 it/s  gpu_mem=22035 MB
  iter 3100/5914  loss=1.5678  (cls 0.6058 bbox 0.9620)  1.39 it/s  gpu_mem=22035 MB
  iter 3200/5914  loss=1.6326  (cls 0.6817 bbox 0.9509)  1.39 it/s  gpu_mem=22035 MB
  iter 3300/5914  loss=1.1187  (cls 0.4596 bbox 0.6591)  1.39 it/s  gpu_mem=22035 MB
  iter 3400/5914  loss=1.4402  (cls 0.5873 bbox 0.8529)  1.39 it/s  gpu_mem=22035 MB
  iter 3500/5914  loss=1.0997  (cls 0.4455 bbox 0.6542)  1.39 it/s  gpu_mem=22035 MB
  iter 3600/5914  loss=1.7219  (cls 0.6313 bbox 1.0906)  1.39 it/s  gpu_mem=22035 MB
  iter 3700/5914  loss=1.5482  (cls 0.5910 bbox 0.9571)  1.39 it/s  gpu_mem=22035 MB
  iter 3800/5914  loss=1.4552  (cls 0.6654 bbox 0.7898)  1.39 it/s  gpu_mem=22035 MB
  iter 3900/5914  loss=1.8919  (cls 0.6367 bbox 1.2552)  1.39 it/s  gpu_mem=22035 MB
  iter 4000/5914  loss=1.0887  (cls 0.4768 bbox 0.6119)  1.39 it/s  gpu_mem=22035 MB
  iter 4100/5914  loss=1.5985  (cls 0.6641 bbox 0.9344)  1.39 it/s  gpu_mem=22035 MB
  iter 4200/5914  loss=1.4578  (cls 0.6214 bbox 0.8363)  1.39 it/s  gpu_mem=22035 MB
  iter 4300/5914  loss=1.0213  (cls 0.4415 bbox 0.5798)  1.39 it/s  gpu_mem=22035 MB
  iter 4400/5914  loss=0.9513  (cls 0.4213 bbox 0.5300)  1.39 it/s  gpu_mem=22035 MB
  iter 4500/5914  loss=1.4395  (cls 0.6430 bbox 0.7965)  1.39 it/s  gpu_mem=22035 MB
  iter 4600/5914  loss=1.0654  (cls 0.4866 bbox 0.5788)  1.39 it/s  gpu_mem=22035 MB
  iter 4700/5914  loss=1.4933  (cls 0.6421 bbox 0.8512)  1.39 it/s  gpu_mem=22035 MB
  iter 4800/5914  loss=1.3422  (cls 0.6245 bbox 0.7177)  1.39 it/s  gpu_mem=22035 MB
  iter 4900/5914  loss=1.0316  (cls 0.4478 bbox 0.5839)  1.39 it/s  gpu_mem=22035 MB
  iter 5000/5914  loss=1.0485  (cls 0.4330 bbox 0.6155)  1.39 it/s  gpu_mem=22035 MB
  iter 5100/5914  loss=1.0237  (cls 0.4509 bbox 0.5728)  1.39 it/s  gpu_mem=22035 MB
  iter 5200/5914  loss=1.3882  (cls 0.5881 bbox 0.8001)  1.39 it/s  gpu_mem=22035 MB
  iter 5300/5914  loss=1.6991  (cls 0.6117 bbox 1.0875)  1.39 it/s  gpu_mem=22035 MB
  iter 5400/5914  loss=1.0571  (cls 0.4255 bbox 0.6316)  1.39 it/s  gpu_mem=22035 MB
  iter 5500/5914  loss=1.0482  (cls 0.4679 bbox 0.5803)  1.39 it/s  gpu_mem=22035 MB
  iter 5600/5914  loss=1.6907  (cls 0.6201 bbox 1.0706)  1.39 it/s  gpu_mem=22035 MB
  iter 5700/5914  loss=1.2938  (cls 0.5820 bbox 0.7119)  1.39 it/s  gpu_mem=22035 MB
  iter 5800/5914  loss=1.9546  (cls 0.5988 bbox 1.3558)  1.39 it/s  gpu_mem=22035 MB
  iter 5900/5914  loss=1.5380  (cls 0.6171 bbox 0.9209)  1.39 it/s  gpu_mem=22035 MB
Epoch 1 train | total=1.3210 cls=0.5447 bbox=0.7763 | LR bb=3.00e-05 head=3.00e-04 | 5914 batches in 4247.8s
Epoch 1 eval | mAP@50=0.247  mAP@[.5:.95]=0.131
  iter 0/5914  loss=0.9337  (cls 0.4191 bbox 0.5146)  0.39 it/s  gpu_mem=22035 MB
  iter 100/5914  loss=1.1097  (cls 0.4750 bbox 0.6347)  1.35 it/s  gpu_mem=22035 MB
  iter 200/5914  loss=1.2174  (cls 0.4871 bbox 0.7303)  1.37 it/s  gpu_mem=22035 MB
  iter 300/5914  loss=1.4797  (cls 0.5886 bbox 0.8911)  1.38 it/s  gpu_mem=22035 MB
  iter 400/5914  loss=1.0343  (cls 0.4418 bbox 0.5925)  1.38 it/s  gpu_mem=22035 MB
  iter 500/5914  loss=1.5070  (cls 0.6066 bbox 0.9005)  1.39 it/s  gpu_mem=22035 MB
  iter 600/5914  loss=1.2113  (cls 0.4937 bbox 0.7176)  1.39 it/s  gpu_mem=22035 MB
  iter 700/5914  loss=1.2439  (cls 0.5015 bbox 0.7424)  1.39 it/s  gpu_mem=22035 MB
  iter 800/5914  loss=1.6239  (cls 0.6144 bbox 1.0095)  1.39 it/s  gpu_mem=22035 MB
