=== Experiment V3_imagenet: V3 ImageNet backbone + V2 head/FPN warm-start ===
Log: /workspace/SNN/logs/cifar100_spikedetect_V3_imagenet.log
dataset=coco batch=20 img=416 epochs=20 warmup=2 amp=True
backbone_source=imagenet_ann  warm_start=cifar100_detect_V2_coco_best.pth scope=head_fpn  aug=basic
USE_KD=False  USE_SPIKING_HEAD=False
loading annotations into memory...
Done (t=12.59s)
creating index...
index created!
loading annotations into memory...
Done (t=0.55s)
creating index...
index created!
Train batches: 5914  Val batches: 250
num_classes=81 (incl. background)
[SEWBackboneForDetection:imagenet_ann] loaded 660 keys, skipped 0, still-missing 240
Warm-started from cifar100_detect_V2_coco_best.pth (scope=head_fpn): loaded 36 keys, skipped 0
Total params: 20,322,535  Trainable: 20,170,975
Backbone trainable: 11,092,192
Head/FPN trainable: 9,078,783
Resumed from epoch 4 (mAP: 0.197)
  iter 4700/5914  loss=1.0972  (cls 0.4956 bbox 0.6015)  1.36 it/s  gpu_mem=22112 MB
  iter 4800/5914  loss=0.9641  (cls 0.4665 bbox 0.4976)  1.36 it/s  gpu_mem=22112 MB
  iter 4900/5914  loss=0.9047  (cls 0.4060 bbox 0.4987)  1.36 it/s  gpu_mem=22112 MB
  iter 5000/5914  loss=1.0732  (cls 0.4552 bbox 0.6180)  1.36 it/s  gpu_mem=22112 MB
  iter 5100/5914  loss=0.9010  (cls 0.4522 bbox 0.4488)  1.36 it/s  gpu_mem=22112 MB
  iter 5200/5914  loss=1.0355  (cls 0.5226 bbox 0.5129)  1.36 it/s  gpu_mem=22112 MB
  iter 5300/5914  loss=1.0330  (cls 0.4677 bbox 0.5653)  1.36 it/s  gpu_mem=22112 MB
  iter 5400/5914  loss=1.0468  (cls 0.4523 bbox 0.5945)  1.36 it/s  gpu_mem=22112 MB
  iter 5500/5914  loss=1.0422  (cls 0.4891 bbox 0.5531)  1.36 it/s  gpu_mem=22112 MB
  iter 5600/5914  loss=1.1962  (cls 0.5598 bbox 0.6364)  1.36 it/s  gpu_mem=22112 MB
  iter 5700/5914  loss=0.9220  (cls 0.4434 bbox 0.4786)  1.36 it/s  gpu_mem=22112 MB
  iter 5800/5914  loss=0.9223  (cls 0.4173 bbox 0.5050)  1.36 it/s  gpu_mem=22112 MB
  iter 5900/5914  loss=0.8213  (cls 0.3755 bbox 0.4458)  1.36 it/s  gpu_mem=22112 MB
Epoch 5 train | total=0.9704 cls=0.4619 bbox=0.5085 | LR bb=2.65e-05 head=2.65e-04 | 5914 batches in 4335.1s
/workspace/SNN/venv/lib/python3.12/site-packages/torchmetrics/utilities/prints.py:43: UserWarning: Encountered more than 100 detections in a single image. This means that certain detections with the lowest scores will be ignored, that may have an undesirable impact on performance. Please consider adjusting the `max_detection_threshold` to suit your use case. To disable this warning, set attribute class `warn_on_many_detections=False`, after initializing the metric.
  warnings.warn(*args, **kwargs)
Epoch 5 eval | mAP@50=0.209  mAP@[.5:.95]=0.107
>> Best saved at epoch 5 (mAP@50: 0.209)
  iter 0/5914  loss=0.9165  (cls 0.5082 bbox 0.4083)  0.41 it/s  gpu_mem=22112 MB
  iter 100/5914  loss=0.9212  (cls 0.3937 bbox 0.5275)  1.33 it/s  gpu_mem=22112 MB
  iter 200/5914  loss=1.0624  (cls 0.4911 bbox 0.5713)  1.34 it/s  gpu_mem=22112 MB
  iter 300/5914  loss=0.8905  (cls 0.4224 bbox 0.4681)  1.35 it/s  gpu_mem=22112 MB
  iter 400/5914  loss=0.9267  (cls 0.4327 bbox 0.4939)  1.36 it/s  gpu_mem=22112 MB
  iter 500/5914  loss=0.9457  (cls 0.4015 bbox 0.5442)  1.36 it/s  gpu_mem=22112 MB
  iter 600/5914  loss=1.0428  (cls 0.4916 bbox 0.5512)  1.36 it/s  gpu_mem=22112 MB
  iter 700/5914  loss=0.8659  (cls 0.4688 bbox 0.3971)  1.36 it/s  gpu_mem=22112 MB
  iter 800/5914  loss=0.9126  (cls 0.4325 bbox 0.4801)  1.36 it/s  gpu_mem=22112 MB
  iter 900/5914  loss=1.0260  (cls 0.4615 bbox 0.5644)  1.36 it/s  gpu_mem=22112 MB
  iter 1000/5914  loss=0.9943  (cls 0.4681 bbox 0.5262)  1.36 it/s  gpu_mem=22112 MB
  iter 1100/5914  loss=1.1392  (cls 0.5387 bbox 0.6006)  1.36 it/s  gpu_mem=22112 MB
  iter 1200/5914  loss=0.9769  (cls 0.4649 bbox 0.5120)  1.37 it/s  gpu_mem=22112 MB
  iter 1300/5914  loss=1.0121  (cls 0.5869 bbox 0.4252)  1.37 it/s  gpu_mem=22112 MB
  iter 1400/5914  loss=0.8937  (cls 0.4106 bbox 0.4832)  1.37 it/s  gpu_mem=22112 MB
  iter 1500/5914  loss=0.9998  (cls 0.4744 bbox 0.5254)  1.37 it/s  gpu_mem=22112 MB
  iter 1600/5914  loss=0.8408  (cls 0.4235 bbox 0.4173)  1.37 it/s  gpu_mem=22112 MB
  iter 1700/5914  loss=0.6909  (cls 0.3664 bbox 0.3245)  1.37 it/s  gpu_mem=22112 MB
  iter 1800/5914  loss=0.9926  (cls 0.5100 bbox 0.4825)  1.37 it/s  gpu_mem=22112 MB
  iter 1900/5914  loss=0.8537  (cls 0.4411 bbox 0.4126)  1.37 it/s  gpu_mem=22112 MB
  iter 2000/5914  loss=0.8602  (cls 0.3512 bbox 0.5091)  1.37 it/s  gpu_mem=22112 MB
  iter 2100/5914  loss=0.8398  (cls 0.4407 bbox 0.3991)  1.37 it/s  gpu_mem=22112 MB
