=== Experiment V7_sanity: V7 1-epoch sanity check (full train + eval) ===
Log: /workspace/SNN/logs/cifar100_spikedetect_V7_sanity.log
dataset=coco batch=10 img=416 epochs=1 warmup=0 amp=True
backbone_source=imagenet_ann  warm_start=cifar100_spikedetect_V5_kd_best.pth scope=backbone_only  aug=strong
USE_KD=True  USE_SPIKING_HEAD=False
loading annotations into memory...
Done (t=12.23s)
creating index...
index created!
Wrapped train_set with MosaicDetection (prob=0.5)
loading annotations into memory...
Done (t=0.53s)
creating index...
index created!
Train batches: 11828  Val batches: 500
num_classes=81 (incl. background)
[SEWBackboneForDetection:imagenet_ann] loaded 660 keys, skipped 0, still-missing 240
Warm-started from cifar100_spikedetect_V5_kd_best.pth (scope=backbone_only): loaded 900 keys, skipped 24
Total params: 17,414,811  Trainable: 17,263,251
Loading ANN teacher: torchvision RetinaNet-R50-FPN-v2 @ 416...
Backbone trainable: 11,092,192
Head/FPN trainable: 6,171,059
USE_EMA=True  USE_PROGRESSIVE_UNFREEZE=True
No resume checkpoint — fresh start for this experiment.
--- Epoch 0: unfreezing 1/4 backbone layer-groups, trainable params 14,611,071 ---
  iter 3900/11828  loss=25.0894  (cls 3.1270 ciou 2.4704 dfl 2.2678)  1.60 it/s  gpu_mem=18429 MB
  iter 4000/11828  loss=22.7808  (cls 2.8294 ciou 2.5221 dfl 2.0422)  1.60 it/s  gpu_mem=18429 MB
  iter 4100/11828  loss=23.9660  (cls 2.5270 ciou 2.0543 dfl 2.0212)  1.60 it/s  gpu_mem=18429 MB
  iter 4200/11828  loss=23.3190  (cls 1.9970 ciou 1.7911 dfl 1.6478)  1.60 it/s  gpu_mem=18429 MB
  iter 4300/11828  loss=23.4588  (cls 2.6293 ciou 2.3362 dfl 2.0621)  1.60 it/s  gpu_mem=18429 MB
  iter 4400/11828  loss=21.7371  (cls 2.5294 ciou 2.1094 dfl 1.8642)  1.60 it/s  gpu_mem=18429 MB
  iter 4500/11828  loss=22.6980  (cls 2.5009 ciou 2.2721 dfl 1.9370)  1.60 it/s  gpu_mem=18429 MB
  iter 4600/11828  loss=20.9122  (cls 2.2189 ciou 1.7197 dfl 1.5337)  1.60 it/s  gpu_mem=18429 MB
  iter 4700/11828  loss=22.8655  (cls 2.6001 ciou 2.3010 dfl 1.9252)  1.60 it/s  gpu_mem=18429 MB
  iter 4800/11828  loss=19.8894  (cls 2.1077 ciou 1.7240 dfl 1.5317)  1.60 it/s  gpu_mem=18429 MB
  iter 4900/11828  loss=23.2591  (cls 2.7609 ciou 2.2555 dfl 1.9367)  1.60 it/s  gpu_mem=18429 MB
  iter 5000/11828  loss=21.1316  (cls 2.0136 ciou 1.8917 dfl 1.7149)  1.61 it/s  gpu_mem=18429 MB
  iter 5100/11828  loss=22.8967  (cls 2.4740 ciou 2.3075 dfl 1.9687)  1.61 it/s  gpu_mem=18429 MB
  iter 5200/11828  loss=22.3178  (cls 1.8657 ciou 1.9356 dfl 1.6278)  1.61 it/s  gpu_mem=18429 MB
  iter 5300/11828  loss=22.9351  (cls 2.0145 ciou 1.8440 dfl 1.5987)  1.61 it/s  gpu_mem=18429 MB
  iter 5400/11828  loss=21.7538  (cls 2.0279 ciou 1.8755 dfl 1.6167)  1.61 it/s  gpu_mem=18429 MB
  iter 5500/11828  loss=22.5193  (cls 1.7938 ciou 1.7752 dfl 1.7008)  1.61 it/s  gpu_mem=18429 MB
  iter 5600/11828  loss=21.1458  (cls 2.2820 ciou 1.8307 dfl 1.6622)  1.61 it/s  gpu_mem=18429 MB
  iter 5700/11828  loss=22.4483  (cls 2.5403 ciou 2.2717 dfl 2.0944)  1.61 it/s  gpu_mem=18429 MB
  iter 5800/11828  loss=22.6020  (cls 2.6761 ciou 2.2761 dfl 1.9643)  1.61 it/s  gpu_mem=18429 MB
  iter 5900/11828  loss=22.0502  (cls 2.2001 ciou 1.8219 dfl 1.6412)  1.61 it/s  gpu_mem=18429 MB
  iter 6000/11828  loss=23.2783  (cls 2.7186 ciou 2.3988 dfl 2.0005)  1.61 it/s  gpu_mem=18429 MB
  iter 6100/11828  loss=21.6450  (cls 2.2699 ciou 1.9988 dfl 1.6980)  1.61 it/s  gpu_mem=18429 MB
  iter 6200/11828  loss=23.2899  (cls 2.9404 ciou 2.4380 dfl 2.0650)  1.61 it/s  gpu_mem=18429 MB
  iter 6300/11828  loss=20.3378  (cls 2.1072 ciou 1.6920 dfl 1.6977)  1.61 it/s  gpu_mem=18429 MB
  iter 6400/11828  loss=23.2393  (cls 2.9429 ciou 2.6336 dfl 2.1737)  1.61 it/s  gpu_mem=18429 MB
  iter 6500/11828  loss=22.3030  (cls 2.7061 ciou 2.4024 dfl 1.9968)  1.61 it/s  gpu_mem=18429 MB
  iter 6600/11828  loss=23.5932  (cls 2.9856 ciou 2.3820 dfl 2.1164)  1.61 it/s  gpu_mem=18429 MB
  iter 6700/11828  loss=21.7953  (cls 2.0863 ciou 1.5985 dfl 1.5364)  1.61 it/s  gpu_mem=18429 MB
  iter 6800/11828  loss=22.8504  (cls 2.8681 ciou 2.2924 dfl 1.9068)  1.61 it/s  gpu_mem=18429 MB
  iter 6900/11828  loss=23.7755  (cls 2.1495 ciou 1.8047 dfl 1.5538)  1.61 it/s  gpu_mem=18429 MB
  iter 7000/11828  loss=22.0327  (cls 2.6807 ciou 2.3929 dfl 2.0739)  1.61 it/s  gpu_mem=18429 MB
  iter 7100/11828  loss=20.7150  (cls 1.9584 ciou 1.9437 dfl 1.5848)  1.61 it/s  gpu_mem=18429 MB
  iter 7200/11828  loss=21.7327  (cls 2.0930 ciou 1.7841 dfl 1.5939)  1.61 it/s  gpu_mem=18429 MB
  iter 7300/11828  loss=25.0088  (cls 2.1566 ciou 1.8932 dfl 1.6726)  1.61 it/s  gpu_mem=18429 MB
  iter 7400/11828  loss=21.6856  (cls 1.8126 ciou 1.5960 dfl 1.5490)  1.61 it/s  gpu_mem=18429 MB
  iter 7500/11828  loss=22.5233  (cls 1.8295 ciou 1.9756 dfl 1.6136)  1.61 it/s  gpu_mem=18429 MB
  iter 7600/11828  loss=24.6910  (cls 2.9884 ciou 2.3402 dfl 2.0251)  1.61 it/s  gpu_mem=18429 MB
  iter 7700/11828  loss=20.8440  (cls 2.7808 ciou 2.3496 dfl 1.8617)  1.61 it/s  gpu_mem=18429 MB
  iter 7800/11828  loss=22.8043  (cls 2.9921 ciou 2.5287 dfl 2.0939)  1.61 it/s  gpu_mem=18429 MB
  iter 7900/11828  loss=23.0140  (cls 2.0641 ciou 1.9799 dfl 1.6823)  1.61 it/s  gpu_mem=18429 MB
  iter 8000/11828  loss=24.4712  (cls 2.1505 ciou 1.9022 dfl 1.6827)  1.61 it/s  gpu_mem=18429 MB
  iter 8100/11828  loss=23.2827  (cls 2.7722 ciou 2.3392 dfl 1.9449)  1.61 it/s  gpu_mem=18429 MB
  iter 8200/11828  loss=22.0867  (cls 2.0311 ciou 1.8748 dfl 1.5450)  1.61 it/s  gpu_mem=18429 MB
  iter 8300/11828  loss=21.5583  (cls 1.9298 ciou 1.8743 dfl 1.7351)  1.61 it/s  gpu_mem=18429 MB
  iter 8400/11828  loss=24.2940  (cls 2.9196 ciou 2.4286 dfl 2.0407)  1.61 it/s  gpu_mem=18429 MB
  iter 8500/11828  loss=24.3498  (cls 2.9461 ciou 2.4386 dfl 2.0763)  1.61 it/s  gpu_mem=18429 MB
  iter 8600/11828  loss=20.7014  (cls 1.7340 ciou 1.6120 dfl 1.5339)  1.61 it/s  gpu_mem=18429 MB
  iter 8700/11828  loss=21.7607  (cls 1.8948 ciou 1.6475 dfl 1.5023)  1.61 it/s  gpu_mem=18429 MB
  iter 8800/11828  loss=21.2927  (cls 2.1427 ciou 1.7597 dfl 1.5388)  1.61 it/s  gpu_mem=18429 MB
  iter 8900/11828  loss=21.6895  (cls 2.1285 ciou 1.9010 dfl 1.6354)  1.61 it/s  gpu_mem=18429 MB
  iter 9000/11828  loss=22.9274  (cls 2.8593 ciou 2.4391 dfl 2.0892)  1.61 it/s  gpu_mem=18429 MB
  iter 9100/11828  loss=21.4559  (cls 2.5761 ciou 2.4577 dfl 1.8359)  1.61 it/s  gpu_mem=18429 MB
  iter 9200/11828  loss=22.8643  (cls 1.8116 ciou 1.9032 dfl 1.5436)  1.61 it/s  gpu_mem=18429 MB
  iter 9300/11828  loss=20.2568  (cls 1.7915 ciou 1.7914 dfl 1.5977)  1.61 it/s  gpu_mem=18429 MB
  iter 9400/11828  loss=22.2452  (cls 2.5144 ciou 2.2323 dfl 1.9016)  1.61 it/s  gpu_mem=18429 MB
  iter 9500/11828  loss=23.3195  (cls 2.8529 ciou 2.2680 dfl 1.9383)  1.61 it/s  gpu_mem=18429 MB
  iter 9600/11828  loss=22.0132  (cls 2.0212 ciou 2.0007 dfl 1.7284)  1.61 it/s  gpu_mem=18429 MB
  iter 9700/11828  loss=23.5895  (cls 3.0077 ciou 2.4965 dfl 2.1031)  1.61 it/s  gpu_mem=18429 MB
  iter 9800/11828  loss=20.8987  (cls 1.9475 ciou 1.7114 dfl 1.5737)  1.61 it/s  gpu_mem=18429 MB
  iter 9900/11828  loss=20.1524  (cls 2.1238 ciou 1.7543 dfl 1.6154)  1.61 it/s  gpu_mem=18429 MB
  iter 10000/11828  loss=22.7785  (cls 2.7880 ciou 2.2742 dfl 1.8589)  1.61 it/s  gpu_mem=18429 MB
  iter 10100/11828  loss=22.9533  (cls 2.3052 ciou 1.8150 dfl 1.6439)  1.61 it/s  gpu_mem=18429 MB
  iter 10200/11828  loss=21.1539  (cls 1.9595 ciou 1.7679 dfl 1.5318)  1.61 it/s  gpu_mem=18429 MB
